ensembl_gene_id	mean_plddt
YIL038C	65.92946172248804
YOR361C	86.61369593709043
YGL058W	92.10313953488372
YJL080C	77.94290507364975
YLR303W	94.87004504504505
YGR088W	92.56137010676157
YLR355C	89.8212911392405
YLR044C	98.41
YOR278W	89.9530909090909
YAL039C	79.76211895910781
YPR113W	89.70145454545454
YNL104C	90.5032633279483
YDL108W	91.04888888888888
YDL017W	81.03658777120316
YJL164C	84.96105793450882
YPL203W	85.35136842105263
YCR031C	91.93175182481752
YOR202W	95.61040909090909
YOR204W	76.14758278145695
YDL042C	80.05186832740213
YLR442C	65.53950920245398
YOR257W	91.95422360248448
YPR160W	93.90524390243903
YHR144C	89.22833333333334
YGL237C	64.68554716981131
YGR191W	80.64941956882255
YOR360C	89.28960076045627
YPL022W	72.15084545454546
YML032C	66.21498938428874
YJR052W	81.42088495575221
YPR165W	88.84794258373206
YNL090W	90.668125
YDR477W	69.59890995260663
YKL178C	71.82912765957447
YDL159W	68.356
YOR074C	96.03697368421052
YNL088W	77.7363655462185
YBR109C	80.30299319727891
YML095C	77.28371428571428
YER171W	85.84800771208226
YER161C	67.2563963963964
YDR392W	77.9579228486647
YOR065W	88.34669902912621
YKL182W	93.02513408093613
YDR226W	93.37995495495495
YIL116W	96.6824935064935
YNL121C	83.28371150729336
YKL194C	90.48194805194805
YGL234W	93.01125935162095
YGR204W	93.68342494714588
YMR083W	92.78685333333334
YDR216W	50.82166288737717
YMR042W	73.51858757062146
YDR173C	81.17391549295775
YBL099W	90.71020183486239
YJL209W	82.98036697247706
YBR120C	80.51308641975308
YDL067C	96.16593220338983
YBL045C	91.7102625820569
YPR191W	91.27029891304348
YOR303W	92.11839416058395
YJL130C	87.58855916892502
YOL139C	90.60863849765258
YPL075W	59.423974522292994
YOR375C	96.26185022026432
YPR033C	87.13558608058608
YGL009C	89.80214377406932
YIR021W	86.20184573002754
YPL154C	86.5961975308642
YDL106C	62.44890876565295
YFR034C	60.1750641025641
YML061C	65.86497089639116
YLR014C	67.9870685840708
YGL043W	78.47802588996764
YOR122C	97.87968253968253
YHR037W	95.44984347826087
YGR258C	60.29846750727449
YMR208W	92.75018058690745
YIL033C	78.8726923076923
YOL121C	92.46965277777778
YNL302C	95.009375
YFL045C	95.44543307086614
YDR023W	94.83034632034632
YDR354W	93.66202631578948
YBR243C	90.13243303571429
YMR108W	91.13850072780204
YHR013C	81.80323529411764
YNR045W	68.38224948875255
YFL005W	82.57213953488372
YBR115C	86.90552442528735
YPR110C	93.54880597014926
